k1,k2,k3,p,r,value
0.01,0.08,0.36,0.85,0.08108108108108109,0.5696798405365331
0.01,0.08,0.36,0.92,0.04166666666666665,0.5500850507720825
0.01,0.08,0.36,0.99,0.005025125628140708,0.5112932324614996
0.01,0.08,0.43,0.01,0.9801980198019802,0.19284012559385433
0.01,0.08,0.43,0.08,0.8518518518518519,0.24590240749175707
0.01,0.08,0.43,0.15,0.7391304347826088,0.30010075957428284
0.01,0.08,0.43,0.22,0.639344262295082,0.3532733169357509
0.01,0.08,0.43,0.29,0.5503875968992248,0.40353444944101535
0.01,0.08,0.43,0.36,0.4705882352941177,0.4493191541995125
0.01,0.08,0.43,0.43,0.39860139860139865,0.4893846307126939
0.01,0.08,0.43,0.5,0.3333333333333333,0.5227838707287837
0.01,0.08,0.43,0.57,0.2738853503184714,0.5488196385726836
0.01,0.08,0.43,0.64,0.2195121951219512,0.5669811874101183
0.01,0.08,0.43,0.71,0.16959064327485382,0.576857833479778
0.01,0.08,0.43,0.78,0.12359550561797751,0.578005337460826
0.01,0.08,0.43,0.85,0.08108108108108109,0.5696820677763617
0.01,0.08,0.43,0.92,0.04166666666666665,0.5500858339277475
0.01,0.08,0.43,0.99,0.005025125628140708,0.5112932949313045
0.01,0.08,0.5,0.01,0.9801980198019802,0.1935315331758739
0.01,0.08,0.5,0.08,0.8518518518518519,0.24641995913607084
0.01,0.08,0.5,0.15,0.7391304347826088,0.30047266608476564
0.01,0.08,0.5,0.22,0.639344262295082,0.3535312701184028
0.01,0.08,0.5,0.29,0.5503875968992248,0.40370778151755937
0.01,0.08,0.5,0.36,0.4705882352941177,0.4494322416889234
0.01,0.08,0.5,0.43,0.39860139860139865,0.48945632975700737
0.01,0.08,0.5,0.5,0.3333333333333333,0.5228280154714535
0.01,0.08,0.5,0.57,0.2738853503184714,0.5488459628593316
0.01,0.08,0.5,0.64,0.2195121951219512,0.5669963054721334
0.01,0.08,0.5,0.71,0.16959064327485382,0.5768661051574497
0.01,0.08,0.5,0.78,0.12359550561797751,0.5780095579445721
0.01,0.08,0.5,0.85,0.08108108108108109,0.5696839821479083
0.01,0.08,0.5,0.92,0.04166666666666665,0.5500865031172362
0.01,0.08,0.5,0.99,0.005025125628140708,0.5112933480017139
0.01,0.08,0.57,0.01,0.9801980198019802,0.1941847478968033
0.01,0.08,0.57,0.08,0.8518518518518519,0.24690460700717365
0.01,0.08,0.57,0.15,0.7391304347826088,0.3008182489855413
0.01,0.08,0.57,0.22,0.639344262295082,0.3537693141583482
0.01,0.08,0.57,0.29,0.5503875968992248,0.4038667248485741
0.01,0.08,0.57,0.36,0.4705882352941177,0.44953532727065526
0.01,0.08,0.57,0.43,0.39860139860139865,0.48952131788941466
0.01,0.08,0.57,0.5,0.3333333333333333,0.522867809203506
0.01,0.08,0.57,0.57,0.2738853503184714,0.5488695653755373
0.01,0.08,0.57,0.64,0.2195121951219512,0.5670097888476833
0.01,0.08,0.57,0.71,0.16959064327485382,0.576873443931663
